wave(um) flux(mJy) ABmag
0.1952 0.000000e+00 inf
0.1959 0.000000e+00 inf
0.1965 0.000000e+00 inf
0.1971 0.000000e+00 inf
0.1978 0.000000e+00 inf
0.1984 0.000000e+00 inf
0.1990 0.000000e+00 inf
0.1996 0.000000e+00 inf
0.2003 0.000000e+00 inf
0.2009 0.000000e+00 inf
0.2015 0.000000e+00 inf
0.2022 0.000000e+00 inf
0.2028 0.000000e+00 inf
0.2034 0.000000e+00 inf
0.2041 0.000000e+00 inf
0.2047 0.000000e+00 inf
0.2053 0.000000e+00 inf
0.2059 0.000000e+00 inf
0.2066 0.000000e+00 inf
0.2072 0.000000e+00 inf
0.2078 0.000000e+00 inf
0.2085 0.000000e+00 inf
0.2091 0.000000e+00 inf
0.2097 0.000000e+00 inf
0.2104 0.000000e+00 inf
0.2110 0.000000e+00 inf
0.2116 0.000000e+00 inf
0.2122 0.000000e+00 inf
0.2129 0.000000e+00 inf
0.2135 0.000000e+00 inf
0.2141 0.000000e+00 inf
0.2148 0.000000e+00 inf
0.2154 0.000000e+00 inf
0.2160 0.000000e+00 inf
0.2167 0.000000e+00 inf
0.2173 0.000000e+00 inf
0.2179 0.000000e+00 inf
0.2185 0.000000e+00 inf
0.2192 0.000000e+00 inf
0.2198 0.000000e+00 inf
0.2204 0.000000e+00 inf
0.2211 0.000000e+00 inf
0.2217 0.000000e+00 inf
0.2223 0.000000e+00 inf
0.2230 0.000000e+00 inf
0.2236 0.000000e+00 inf
0.2242 0.000000e+00 inf
0.2248 0.000000e+00 inf
0.2255 0.000000e+00 inf
0.2261 0.000000e+00 inf
0.2267 0.000000e+00 inf
0.2274 0.000000e+00 inf
0.2280 0.000000e+00 inf
0.2286 0.000000e+00 inf
0.2293 0.000000e+00 inf
0.2299 0.000000e+00 inf
0.2305 0.000000e+00 inf
0.2311 0.000000e+00 inf
0.2318 0.000000e+00 inf
0.2324 0.000000e+00 inf
0.2330 0.000000e+00 inf
0.2337 0.000000e+00 inf
0.2343 0.000000e+00 inf
0.2349 0.000000e+00 inf
0.2356 0.000000e+00 inf
0.2362 0.000000e+00 inf
0.2368 0.000000e+00 inf
0.2374 0.000000e+00 inf
0.2381 0.000000e+00 inf
0.2387 0.000000e+00 inf
0.2393 0.000000e+00 inf
0.2400 0.000000e+00 inf
0.2406 0.000000e+00 inf
0.2412 0.000000e+00 inf
0.2419 0.000000e+00 inf
0.2425 0.000000e+00 inf
0.2431 0.000000e+00 inf
0.2437 0.000000e+00 inf
0.2444 0.000000e+00 inf
0.2450 0.000000e+00 inf
0.2456 0.000000e+00 inf
0.2463 0.000000e+00 inf
0.2469 0.000000e+00 inf
0.2475 0.000000e+00 inf
0.2482 0.000000e+00 inf
0.2488 0.000000e+00 inf
0.2494 0.000000e+00 inf
0.2500 0.000000e+00 inf
0.2507 0.000000e+00 inf
0.2513 0.000000e+00 inf
0.2519 0.000000e+00 inf
0.2526 0.000000e+00 inf
0.2532 0.000000e+00 inf
0.2538 0.000000e+00 inf
0.2545 0.000000e+00 inf
0.2551 0.000000e+00 inf
0.2557 0.000000e+00 inf
0.2563 0.000000e+00 inf
0.2570 0.000000e+00 inf
0.2576 0.000000e+00 inf
0.2582 0.000000e+00 inf
0.2589 0.000000e+00 inf
0.2595 0.000000e+00 inf
0.2601 0.000000e+00 inf
0.2607 0.000000e+00 inf
0.2614 0.000000e+00 inf
0.2620 0.000000e+00 inf
0.2626 0.000000e+00 inf
0.2633 0.000000e+00 inf
0.2639 0.000000e+00 inf
0.2645 0.000000e+00 inf
0.2652 0.000000e+00 inf
0.2658 0.000000e+00 inf
0.2664 0.000000e+00 inf
0.2671 0.000000e+00 inf
0.2677 0.000000e+00 inf
0.2683 0.000000e+00 inf
0.2689 0.000000e+00 inf
0.2696 0.000000e+00 inf
0.2702 0.000000e+00 inf
0.2708 0.000000e+00 inf
0.2715 0.000000e+00 inf
0.2721 0.000000e+00 inf
0.2727 0.000000e+00 inf
0.2733 0.000000e+00 inf
0.2740 0.000000e+00 inf
0.2746 0.000000e+00 inf
0.2752 0.000000e+00 inf
0.2759 0.000000e+00 inf
0.2765 0.000000e+00 inf
0.2771 0.000000e+00 inf
0.2778 0.000000e+00 inf
0.2784 0.000000e+00 inf
0.2790 0.000000e+00 inf
0.2797 0.000000e+00 inf
0.2803 0.000000e+00 inf
0.2809 0.000000e+00 inf
0.2815 0.000000e+00 inf
0.2822 0.000000e+00 inf
0.2828 0.000000e+00 inf
0.2834 0.000000e+00 inf
0.2841 0.000000e+00 inf
0.2847 0.000000e+00 inf
0.2853 0.000000e+00 inf
0.2859 0.000000e+00 inf
0.2866 0.000000e+00 inf
0.2872 0.000000e+00 inf
0.2878 0.000000e+00 inf
0.2885 0.000000e+00 inf
0.2891 0.000000e+00 inf
0.2897 0.000000e+00 inf
0.2904 0.000000e+00 inf
0.2910 0.000000e+00 inf
0.2916 0.000000e+00 inf
0.2923 0.000000e+00 inf
0.2929 0.000000e+00 inf
0.2935 0.000000e+00 inf
0.2941 0.000000e+00 inf
0.2948 0.000000e+00 inf
0.2954 0.000000e+00 inf
0.2960 0.000000e+00 inf
0.2967 0.000000e+00 inf
0.2973 0.000000e+00 inf
0.2979 0.000000e+00 inf
0.2985 0.000000e+00 inf
0.2992 0.000000e+00 inf
0.2998 0.000000e+00 inf
0.3004 0.000000e+00 inf
0.3011 0.000000e+00 inf
0.3017 0.000000e+00 inf
0.3023 0.000000e+00 inf
0.3030 0.000000e+00 inf
0.3036 0.000000e+00 inf
0.3042 0.000000e+00 inf
0.3049 0.000000e+00 inf
0.3055 0.000000e+00 inf
0.3061 0.000000e+00 inf
0.3067 0.000000e+00 inf
0.3074 0.000000e+00 inf
0.3080 0.000000e+00 inf
0.3086 0.000000e+00 inf
0.3093 0.000000e+00 inf
0.3099 0.000000e+00 inf
0.3105 0.000000e+00 inf
0.3111 0.000000e+00 inf
0.3118 0.000000e+00 inf
0.3124 0.000000e+00 inf
0.3130 0.000000e+00 inf
0.3137 0.000000e+00 inf
0.3143 0.000000e+00 inf
0.3149 0.000000e+00 inf
0.3156 0.000000e+00 inf
0.3162 0.000000e+00 inf
0.3168 0.000000e+00 inf
0.3175 0.000000e+00 inf
0.3181 0.000000e+00 inf
0.3187 0.000000e+00 inf
0.3193 0.000000e+00 inf
0.3200 0.000000e+00 inf
0.3206 0.000000e+00 inf
0.3212 0.000000e+00 inf
0.3219 0.000000e+00 inf
0.3225 0.000000e+00 inf
0.3231 0.000000e+00 inf
0.3237 0.000000e+00 inf
0.3244 0.000000e+00 inf
0.3250 0.000000e+00 inf
0.3256 0.000000e+00 inf
0.3263 0.000000e+00 inf
0.3269 0.000000e+00 inf
0.3275 0.000000e+00 inf
0.3282 0.000000e+00 inf
0.3288 0.000000e+00 inf
0.3294 0.000000e+00 inf
0.3301 0.000000e+00 inf
0.3307 0.000000e+00 inf
0.3313 0.000000e+00 inf
0.3319 0.000000e+00 inf
0.3326 0.000000e+00 inf
0.3332 0.000000e+00 inf
0.3338 0.000000e+00 inf
0.3345 0.000000e+00 inf
0.3351 0.000000e+00 inf
0.3357 0.000000e+00 inf
0.3363 0.000000e+00 inf
0.3370 0.000000e+00 inf
0.3376 0.000000e+00 inf
0.3382 0.000000e+00 inf
0.3389 0.000000e+00 inf
0.3395 0.000000e+00 inf
0.3401 0.000000e+00 inf
0.3408 0.000000e+00 inf
0.3414 0.000000e+00 inf
0.3420 0.000000e+00 inf
0.3427 0.000000e+00 inf
0.3433 0.000000e+00 inf
0.3439 0.000000e+00 inf
0.3445 0.000000e+00 inf
0.3452 0.000000e+00 inf
0.3458 0.000000e+00 inf
0.3464 0.000000e+00 inf
0.3471 0.000000e+00 inf
0.3477 0.000000e+00 inf
0.3483 0.000000e+00 inf
0.3489 0.000000e+00 inf
0.3496 0.000000e+00 inf
0.3502 0.000000e+00 inf
0.3508 0.000000e+00 inf
0.3515 0.000000e+00 inf
0.3521 0.000000e+00 inf
0.3527 0.000000e+00 inf
0.3534 0.000000e+00 inf
0.3540 0.000000e+00 inf
0.3546 0.000000e+00 inf
0.3553 0.000000e+00 inf
0.3559 0.000000e+00 inf
0.3565 0.000000e+00 inf
0.3571 0.000000e+00 inf
0.3578 0.000000e+00 inf
0.3584 0.000000e+00 inf
0.3590 0.000000e+00 inf
0.3597 0.000000e+00 inf
0.3603 0.000000e+00 inf
0.3609 0.000000e+00 inf
0.3615 0.000000e+00 inf
0.3622 0.000000e+00 inf
0.3628 0.000000e+00 inf
0.3634 0.000000e+00 inf
0.3641 0.000000e+00 inf
0.3647 0.000000e+00 inf
0.3653 0.000000e+00 inf
0.3660 0.000000e+00 inf
0.3666 0.000000e+00 inf
0.3672 0.000000e+00 inf
0.3679 0.000000e+00 inf
0.3685 0.000000e+00 inf
0.3691 0.000000e+00 inf
0.3697 0.000000e+00 inf
0.3704 0.000000e+00 inf
0.3710 0.000000e+00 inf
0.3716 0.000000e+00 inf
0.3723 0.000000e+00 inf
0.3729 0.000000e+00 inf
0.3735 0.000000e+00 inf
0.3741 0.000000e+00 inf
0.3748 0.000000e+00 inf
0.3754 0.000000e+00 inf
0.3760 0.000000e+00 inf
0.3767 0.000000e+00 inf
0.3773 0.000000e+00 inf
0.3779 0.000000e+00 inf
0.3786 0.000000e+00 inf
0.3792 0.000000e+00 inf
0.3798 0.000000e+00 inf
0.3805 0.000000e+00 inf
0.3811 0.000000e+00 inf
0.3817 0.000000e+00 inf
0.3823 0.000000e+00 inf
0.3830 0.000000e+00 inf
0.3836 0.000000e+00 inf
0.3842 0.000000e+00 inf
0.3849 0.000000e+00 inf
0.3855 0.000000e+00 inf
0.3861 0.000000e+00 inf
0.3867 0.000000e+00 inf
0.3874 0.000000e+00 inf
0.3880 0.000000e+00 inf
0.3886 0.000000e+00 inf
0.3893 0.000000e+00 inf
0.3899 0.000000e+00 inf
0.3905 0.000000e+00 inf
0.3912 0.000000e+00 inf
0.3918 0.000000e+00 inf
0.3924 0.000000e+00 inf
0.3931 0.000000e+00 inf
0.3937 0.000000e+00 inf
0.3943 0.000000e+00 inf
0.3949 0.000000e+00 inf
0.3956 0.000000e+00 inf
0.3962 0.000000e+00 inf
0.3968 0.000000e+00 inf
0.3975 0.000000e+00 inf
0.3981 0.000000e+00 inf
0.3987 0.000000e+00 inf
0.3993 0.000000e+00 inf
0.4000 0.000000e+00 inf
0.4006 0.000000e+00 inf
0.4012 0.000000e+00 inf
0.4019 0.000000e+00 inf
0.4025 0.000000e+00 inf
0.4031 0.000000e+00 inf
0.4038 0.000000e+00 inf
0.4044 0.000000e+00 inf
0.4050 0.000000e+00 inf
0.4057 0.000000e+00 inf
0.4063 0.000000e+00 inf
0.4069 0.000000e+00 inf
0.4075 0.000000e+00 inf
0.4082 0.000000e+00 inf
0.4088 0.000000e+00 inf
0.4094 0.000000e+00 inf
0.4101 0.000000e+00 inf
0.4107 0.000000e+00 inf
0.4113 0.000000e+00 inf
0.4119 0.000000e+00 inf
0.4126 0.000000e+00 inf
0.4132 0.000000e+00 inf
0.4138 0.000000e+00 inf
0.4145 0.000000e+00 inf
0.4151 0.000000e+00 inf
0.4157 0.000000e+00 inf
